,Unnamed: 0,Square Feet (Millions),"Price ($, Millions)"
0,0,0.0118,0.2219
1,1,0.0257,0.5379999999999999
2,2,0.0077,0.18
3,3,0.0196,0.604
4,4,0.0168,0.51
5,5,0.0542,1.225
6,6,0.01715,0.2575
7,7,0.0106,0.29185
8,8,0.0178,0.2295
9,9,0.0189,0.32299999999999995
10,10,0.0356,0.6625
11,11,0.0116,0.46799999999999997
12,12,0.0143,0.31
13,13,0.0137,0.4
14,14,0.0181,0.53
15,15,0.0295,0.65
16,16,0.0189,0.395
17,17,0.016,0.485
18,18,0.012,0.18899999999999997
19,19,0.0125,0.23
20,20,0.0162,0.385
21,21,0.0305,2.0
22,22,0.0227,0.285
23,23,0.0107,0.2527
24,24,0.0245,0.32899999999999996
25,25,0.0171,0.233
26,26,0.0245,0.937
27,27,0.013999999999999999,0.667
28,28,0.0152,0.43799999999999994
29,29,0.0257,0.7190000000000001
30,30,0.0232,0.5805
31,31,0.0119,0.28
32,32,0.0233,0.6875
33,33,0.0109,0.535
34,34,0.0206,0.3225
35,35,0.023,0.696
36,36,0.0166,0.55
37,37,0.0236,0.64
38,38,0.0122,0.24
39,39,0.0262,0.605
40,40,0.0257,0.625
41,41,0.0422,0.775
42,42,0.03595,0.8619899999999999
43,43,0.0157,0.685
44,44,0.0128,0.309
45,45,0.0316,0.488
46,46,0.0099,0.21049
47,47,0.0229,0.785
48,48,0.0125,0.45
49,49,0.027530000000000002,1.35
50,50,0.0119,0.228
51,51,0.0315,0.345
52,52,0.0141,0.6
53,53,0.0198,0.585
54,54,0.0273,0.92
55,55,0.0283,0.885
56,56,0.0225,0.2925
57,57,0.0242,0.301
58,58,0.0325,0.951
59,59,0.0185,0.43
60,60,0.0215,0.65
61,61,0.0126,0.289
62,62,0.02519,0.505
63,63,0.0154,0.5489999999999999
64,64,0.0166,0.425
65,65,0.0277,0.317625
66,66,0.0272,0.975
67,67,0.0224,0.287
68,68,0.01,0.204
69,69,0.032,1.325
70,70,0.0477,1.04
71,71,0.0126,0.325
72,72,0.0275,0.5710000000000001
73,73,0.0238,0.36
74,74,0.0179,0.349
75,75,0.0343,0.8325
76,76,0.0176,0.38
77,77,0.0104,0.48
78,78,0.0141,0.41
79,79,0.0345,0.72
80,80,0.0235,0.39
81,81,0.019,0.36
82,82,0.0202,0.355
83,83,0.0168,0.35600000000000004
84,84,0.0096,0.315
85,85,0.0214,0.94
86,86,0.0266,0.305
87,87,0.0277,0.461
88,88,0.0161,0.215
89,89,0.0103,0.335
90,90,0.0198,0.2435
91,91,0.0352,1.09988
92,92,0.012,0.153
93,93,0.0158,0.43
94,94,0.0158,0.7
95,95,0.033,0.905
96,96,0.0196,0.2475
97,97,0.0116,0.19899999999999998
98,98,0.0181,0.314
99,99,0.0232,0.4375
100,100,0.0207,0.85083
101,101,0.0198,0.555
102,102,0.0219,0.69995
103,103,0.0292,1.088
104,104,0.0121,0.29
105,105,0.0234,0.375
106,106,0.0167,0.46
107,107,0.0124,0.1885
108,108,0.0314,0.68
109,109,0.0203,0.47
110,110,0.0231,0.59775
111,111,0.0126,0.57
112,112,0.0154,0.2725
113,113,0.0208,0.32995
114,114,0.0323,0.48
115,115,0.0438,0.7405
116,116,0.0159,0.5185
117,117,0.0088,0.205425
118,118,0.0157,0.1718
119,119,0.0161,0.535
120,120,0.024,0.66
121,121,0.0145,0.3915
122,122,0.0077,0.395
123,123,0.021,0.445
124,124,0.0291,0.77
125,125,0.0275,1.45
126,126,0.021,0.445
127,127,0.0216,0.26
128,128,0.0232,0.8225
129,129,0.0207,0.43
130,130,0.0106,0.212
131,131,0.0201,0.6605
132,132,0.0395,0.784
133,133,0.0201,0.453246
134,134,0.0214,0.675
135,135,0.0132,0.19899999999999998
136,136,0.0202,0.22
137,137,0.0259,0.452
138,138,0.0119,0.3825
139,139,0.0117,0.51995
140,140,0.0111,0.665
141,141,0.0282,0.5277
142,142,0.0161,0.205
143,143,0.0106,0.42
144,144,0.0203,0.5
145,145,0.0367,0.9215
146,146,0.0255,0.89
147,147,0.0242,0.43
148,148,0.0226,0.258
149,149,0.0143,0.511
150,150,0.0136,0.53217
151,151,0.0111,0.56
152,152,0.0125,0.28295
153,153,0.0518,2.25
154,154,0.006999999999999999,0.35
155,155,0.0118,0.215
156,156,0.0396,0.65
157,157,0.0264,0.32
158,158,0.0127,0.247
159,159,0.0176,0.32
160,160,0.0206,0.255
161,161,0.0178,0.43799999999999994
162,162,0.034,0.9
163,163,0.0191,0.441
164,164,0.0202,0.42
165,165,0.0158,0.37
166,166,0.0134,0.26995
167,167,0.0268,0.8071
168,168,0.0268,0.653
169,169,0.0137,0.3715
170,170,0.0156,0.284
171,171,0.0216,0.272
172,172,0.0134,0.313
173,173,0.0388,0.9175
174,174,0.0259,0.6729999999999999
175,175,0.0112,0.425
176,176,0.0197,0.39995
177,177,0.0122,0.385
178,178,0.0195,0.26995
179,179,0.0135,0.33
180,180,0.0167,0.26
181,181,0.0238,0.47
182,182,0.0244,0.589
183,183,0.0105,0.1635
184,184,0.0313,0.835
185,185,0.0409,1.095
186,186,0.0149,0.26899999999999996
187,187,0.019,0.56
188,188,0.0133,0.615
189,189,0.0223,0.585188
190,190,0.0165,0.305
191,191,0.0119,0.16695
192,192,0.0214,0.799
193,193,0.0218,0.4
194,194,0.0106,0.23
195,195,0.0169,0.256883
196,196,0.0197,0.423
197,197,0.0215,0.465
198,198,0.0191,0.44
199,199,0.0135,0.385
